Sale_ID,Date,Car_Model,Price,Sales_Person
1,2024-01-07,Sedan,22000,John
2,2024-01-14,SUV,35000,Alice
3,2024-01-21,Sedan,21000,John
4,2024-01-28,Truck,40000,Bob
5,2024-02-04,Convertible,45000,Charlie
6,2024-02-11,SUV,36000,Alice
7,2024-02-18,Sedan,23000,John
8,2024-02-25,Truck,41000,Bob
9,2024-03-03,SUV,37000,Alice
10,2024-03-10,Convertible,46000,Charlie
11,2024-03-17,Truck,42000,Bob
12,2024-03-24,Sedan,22500,John
13,2024-03-31,Convertible,45500,Charlie
14,2024-04-07,Sedan,23500,John
15,2024-04-07,SUV,36500,Alice
16,2024-04-21,Truck,43000,Bob
17,2024-04-28,SUV,37500,Alice
18,2024-05-05,Convertible,47000,Charlie
19,2024-05-12,Sedan,24000,John
20,2024-05-19,SUV,37000,Alice
